date,GOOG,AAPL,FB,BABA,AMZN,GE,AMD,WMT,BAC,GM,T,UAA,SHLD,XOM,RRC,BBY,MA,PFE,JPM,SBUX,portfolio total
2014-11-18,0.0,0.0,0.0,0.0,189.70062851326003,0.0,0.018894499999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3193207081800002,18.53582051944,0.0,4.31873788028,0.0,215.89340212116
2014-11-19,0.0,0.0,0.0,0.0,190.64058805438,0.0,0.0187519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38019138873,18.6197699436,0.0,4.3237323097199996,0.0,216.98303359643
2014-11-20,0.0,0.0,0.0,0.0,192.97586805438,0.0,0.0191797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6160624170899998,18.69046474428,0.0,4.2894847156,0.0,219.59105963135
2014-11-21,0.0,0.0,0.0,0.0,194.1960495191,0.0,0.0197501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.61701293895,18.716981471020002,0.0,4.3130305846,0.0,220.86282461367003
2014-11-24,0.0,0.0,0.0,0.0,195.9533535573,0.0,0.020177900000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.69975930261,18.77663294318,0.0,4.34941794684,0.0,222.79934164993
2014-11-25,0.0,0.0,0.0,0.0,195.60305805438,0.0,0.020177900000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6531545954999998,19.07488146424,0.0,4.30232831376,0.0,222.65360032788
2014-11-26,0.0,0.0,0.0,0.0,194.74484148674,0.0,0.0202492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6854925981599997,19.12348462136,0.0,4.30518203956,0.0,221.87924994582002
2014-11-28,0.0,0.0,0.0,0.0,197.7048135573,0.0,0.0198927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.74826474015,19.28476069114,0.0,4.29233914304,0.0,225.05007083163005
2014-12-01,0.0,0.0,0.0,0.0,190.32532,0.0,0.0190371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5437787906999993,19.32231893312,0.0,4.28092307044,0.0,217.49137789425998
2014-12-02,0.0,0.0,0.0,0.0,190.50630303236,0.0,0.0191084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.53807221335,19.373133611860002,0.0,4.35798021568,0.0,217.79459747324998
2014-12-03,0.0,0.0,0.0,0.0,184.77903,0.0,0.0195362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42774588669,19.51231803808,0.0,4.39080059608,0.0,212.12943072085
